pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
localretro_only,candidate_count,mean_20seed_delta_top1,Q3,3809,10.0,10.0,-0.0001575216592281439
localretro_only,candidate_count,mean_20seed_delta_mrr,Q1,5,5.0,9.0,0.0015714285714285715
localretro_only,candidate_count,mean_20seed_delta_mrr,Q3,3809,10.0,10.0,-9.943554738776582e-05
localretro_only,jaccard_vs_historical,mean_20seed_delta_top1,Q1,1027,0.05263157894736842,0.2,0.0
localretro_only,jaccard_vs_historical,mean_20seed_delta_top1,Q2,830,0.21428571428571427,0.3,-0.0006626506024096386
localretro_only,jaccard_vs_historical,mean_20seed_delta_top1,Q3,968,0.3076923076923077,0.4166666666666667,0.0
localretro_only,jaccard_vs_historical,mean_20seed_delta_top1,Q4,989,0.42857142857142855,0.9,-5.055611729019213e-05
localretro_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q1,1027,0.05263157894736842,0.2,-6.452759617316586e-06
localretro_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q2,830,0.21428571428571427,0.3,-0.0004955536431440047
localretro_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q3,968,0.3076923076923077,0.4166666666666667,0.00010492506231142592
localretro_only,jaccard_vs_historical,mean_20seed_delta_mrr,Q4,989,0.42857142857142855,0.9,-5.5130242187876174e-05
localretro_only,shared_candidate_count,mean_20seed_delta_top1,Q1,674,1.0,2.0,-7.418397626112761e-05
localretro_only,shared_candidate_count,mean_20seed_delta_top1,Q2,1431,3.0,4.0,-0.00034940600978336826
localretro_only,shared_candidate_count,mean_20seed_delta_top1,Q3,783,5.0,5.0,0.0
localretro_only,shared_candidate_count,mean_20seed_delta_top1,Q4,926,6.0,9.0,-5.3995680345572374e-05
localretro_only,shared_candidate_count,mean_20seed_delta_mrr,Q1,674,1.0,2.0,4.7542508595921e-05
localretro_only,shared_candidate_count,mean_20seed_delta_mrr,Q2,1431,3.0,4.0,-0.00028996539216665006
localretro_only,shared_candidate_count,mean_20seed_delta_mrr,Q3,783,5.0,5.0,6.991323562204785e-05
localretro_only,shared_candidate_count,mean_20seed_delta_mrr,Q4,926,6.0,9.0,-4.6153450581096404e-05
localretro_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q1,877,-1.0,0.3333333333333333,-5.7012542759407075e-05
localretro_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q2,839,0.33333333333333337,0.5714285714285714,-5.959475566150179e-05
localretro_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q3,898,0.6,0.8095238095238096,0.00011135857461024499
localretro_only,kendall_order_vs_historical,mean_20seed_delta_top1,Q4,887,0.8666666666666666,1.0,-0.0006764374295377679
localretro_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q1,877,-1.0,0.3333333333333333,0.00016612821487393888
localretro_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q2,839,0.33333333333333337,0.5714285714285714,-0.00018249711485706721
localretro_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q3,898,0.6,0.8095238095238096,-5.2365044013150916e-05
localretro_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q4,887,0.8666666666666666,1.0,-0.0003272802920491759
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q1,1002,0.7952181416542043,0.9987238466968399,0.0
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q2,1092,0.9987893880525748,0.9989583308233024,4.578754578754579e-05
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q3,555,0.9990068397530226,0.9990068397530226,0.0
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q4,1165,0.9990520360375403,0.9990942146971094,-0.0005579399141630902
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q1,1002,0.7952181416542043,0.9987238466968399,0.00014322545385419636
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q2,1092,0.9987893880525748,0.9989583308233024,6.606488749345891e-05
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q3,555,0.9990068397530226,0.9990068397530226,1.4264264264264269e-05
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q4,1165,0.9990520360375403,0.9990942146971094,-0.0005102697731453098
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q1,953,0.1822851651574399,0.37734096472237433,-0.0005771248688352571
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q2,954,0.3773498984712503,0.43279841237932926,0.0
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q3,953,0.43280719048578703,0.503998072698409,-5.246589716684156e-05
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q4,954,0.5042800358841512,0.7929294084544402,0.0
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q1,953,0.1822851651574399,0.37734096472237433,-0.00041720798147870566
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q2,954,0.3773498984712503,0.43279841237932926,9.729293534324977e-05
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q3,953,0.43280719048578703,0.503998072698409,2.0903079664884572e-05
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q4,954,0.5042800358841512,0.7929294084544402,-9.018002728694555e-05
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q1,950,0.24324324324324326,0.7241379310344828,-0.0002105263157894737
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q2,958,0.725,0.8064516129032258,0.00010438413361169103
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q3,961,0.8070175438596491,0.8548387096774194,5.202913631633715e-05
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q4,945,0.855072463768116,1.0,-0.0005820105820105821
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q1,950,0.24324324324324326,0.7241379310344828,3.684210526315785e-05
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q2,958,0.725,0.8064516129032258,-0.00020323839347847697
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q3,961,0.8070175438596491,0.8548387096774194,-2.2545959070412767e-05
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q4,945,0.855072463768116,1.0,-0.0002005542957923911
merged,candidate_count,mean_20seed_delta_top1,Q1,1,8.0,8.0,0.0
merged,candidate_count,mean_20seed_delta_top1,Q3,3813,10.0,10.0,-0.009061106740099658
merged,candidate_count,mean_20seed_delta_mrr,Q1,1,8.0,8.0,0.0
merged,candidate_count,mean_20seed_delta_mrr,Q3,3813,10.0,10.0,-0.0045292004379337185
merged,jaccard_vs_historical,mean_20seed_delta_top1,Q1,893,0.06666666666666667,0.2727272727272727,-0.017973124300111984
merged,jaccard_vs_historical,mean_20seed_delta_top1,Q2,1023,0.2857142857142857,0.38461538461538464,0.0005376344086021516
merged,jaccard_vs_historical,mean_20seed_delta_top1,Q3,928,0.4,0.5,-0.01923491379310345
