pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q1,931,-0.39884013998694023,-0.043762137018621694,-0.00958424973999625
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q2,932,-0.043733184948361425,-0.00948508055405528,-0.011524754751686081
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q3,932,-0.009456834844038253,0.024016925194598415,-0.008168195210845426
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q4,932,0.02406347562446043,0.4248552941695367,-0.009398843586075347
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q1,341,-0.5704633204633205,-0.0005202011444425114,-0.03401759530791789
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q2,1916,0.0,0.0,-0.013126304801670145
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q3,538,0.0008528784648187404,0.05930318754633068,-0.016449814126394055
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q4,932,0.059328649492583874,0.6513888888888888,-0.014324034334763949
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q1,341,-0.5704633204633205,-0.0005202011444425114,-0.019144207047432853
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q2,1916,0.0,0.0,-0.008136525748086291
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q3,538,0.0008528784648187404,0.05930318754633068,-0.012694946008143033
merged,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q4,932,0.059328649492583874,0.6513888888888888,-0.0076060613802030105
